01/12/2017	, 36.31546
01/01/2018	, 34.80185
01/02/2018	, 34.18934
01/03/2018	, 34.33673
01/04/2018	, 35.61158
01/05/2018	, 36.64787
01/06/2018	, 37.1483
01/07/2018	, 43.34109
01/08/2018	, 43.00569
01/09/2018	, 42.1327
01/10/2018	, 42.53301
01/11/2018	, 41.67504
01/12/2018	, 44.86544
01/01/2019	, 45.92988
01/02/2019	, 47.82615
01/03/2019	, 46.34107
01/04/2019	, 45.48497
01/05/2019	, 44.32355
01/06/2019	, 43.66584
01/07/2019	, 43.3177
01/08/2019	, 43.81921
01/09/2019	, 45.29947
01/10/2019	, 44.05974
01/11/2019	, 43.84073
01/12/2019	, 43.75735
01/01/2020	, 44.12045
01/02/2020	, 43.32994
01/03/2020	, 42.05928
01/04/2020	, 32.22355
01/05/2020	, 31.06824
01/06/2020	, 31.95718
01/07/2020	, 34.41734
01/08/2020	, 35.06478
01/09/2020	, 36.28204
01/10/2020	, 37.89124
01/11/2020	, 37.07674
01/12/2020	, 38.74871
01/01/2021	, 39.2114
01/02/2021	, 38.64014
01/03/2021	, 40.58157
01/04/2021	, 42.50907
01/05/2021	, 42.4227
01/06/2021	, 44.34768
01/07/2021	, 44.29339
01/08/2021	, 42.47465
01/09/2021	, 43.34208
01/10/2021	, 43.84308
01/11/2021	, 45.93543
01/12/2021	, 44.89642
01/01/2022	, 43.5909
01/02/2022	, 42.94005
01/03/2022	, 43.56028
01/04/2022	, 44.30171
01/05/2022	, 43.78231
01/06/2022	, 43.20863
01/07/2022	, 41.26987
01/08/2022	, 40.29793
01/09/2022	, 40.82279
