01/09/2010	, 5.18086
01/10/2010	, 5.60767
01/11/2010	, 8.59973
01/12/2010	, 5.64857
01/01/2011	, 2.44613
01/02/2011	, 4.21317
01/03/2011	, 2.30875
01/04/2011	, 0.4374
01/05/2011	, 8.20731
01/06/2011	, 11.21589
01/07/2011	, 10.257
01/08/2011	, 13.32859
01/09/2011	, 7.97213
01/10/2011	, 8.17413
01/11/2011	, 13.53663
01/12/2011	, 11.30515
01/01/2012	, 6.34239
01/02/2012	, 13.10547
01/03/2012	, 8.83757
01/04/2012	, 8.31148
01/05/2012	, 9.11201
01/06/2012	, 0.46392
01/07/2012	, 7.71089
01/08/2012	, 2.92728
01/09/2012	, 4.54935
01/10/2012	, 5.63258
01/11/2012	, 1.38976
01/12/2012	, -5.94571
01/01/2013	, -0.61051
01/02/2013	, -0.54963
01/03/2013	, -6.15262
01/04/2013	, 1.8289
01/05/2013	, -2.26824
01/06/2013	, -5.3571
01/07/2013	, -5.35987
01/08/2013	, -5.08387
01/09/2013	, -6.93286
01/10/2013	, -4.34808
01/11/2013	, -6.15168
01/12/2013	, 1.44445
01/01/2014	, -3.93719
01/02/2014	, -1.86957
01/03/2014	, 5.08629
01/04/2014	, -1.84086
01/05/2014	, 0.1814
01/06/2014	, 5.62971
01/07/2014	, 1.84132
01/08/2014	, 3.26184
01/09/2014	, 7.32279
01/10/2014	, 7.11697
01/11/2014	, 6.06736
01/12/2014	, 5.96247
01/01/2015	, 8.0852
01/02/2015	, 0.70915
01/03/2015	, 2.83009
01/04/2015	, 4.76165
01/05/2015	, 2.01956
01/06/2015	, 8.58917
01/07/2015	, 9.1449
01/08/2015	, 8.50556
01/09/2015	, 11.24885
01/10/2015	, -0.23519
01/11/2015	, 1.51753
01/12/2015	, 1.06183
01/01/2016	, -0.15581
01/02/2016	, 8.28063
01/03/2016	, 0.33163
01/04/2016	, 1.90217
01/05/2016	, 2.48643
01/06/2016	, 0.53408
01/07/2016	, -6.6611
01/08/2016	, 1.05011
01/09/2016	, -1.99167
01/10/2016	, -0.79045
01/11/2016	, 3.6814
01/12/2016	, 2.42328
01/01/2017	, 3.05779
01/02/2017	, -4.41626
01/03/2017	, 4.84088
01/04/2017	, -9.3742
01/05/2017	, 1.28538
01/06/2017	, -0.72746
01/07/2017	, 0.47958
01/08/2017	, -0.0164
01/09/2017	, -1.23566
01/10/2017	, -1.80673
01/11/2017	, -4.93436
01/12/2017	, -0.7833
01/01/2018	, 3.42644
01/02/2018	, 4.37227
01/03/2018	, -3.28611
01/04/2018	, 9.66381
01/05/2018	, 3.67692
01/06/2018	, 1.70045
01/07/2018	, 4.58743
01/08/2018	, -2.21505
01/09/2018	, -0.78734
01/10/2018	, 3.25876
01/11/2018	, -4.42437
01/12/2018	, -8.14754
01/01/2019	, 2.02477
01/02/2019	, -0.59507
01/03/2019	, -1.71648
01/04/2019	, -6.42901
01/05/2019	, -7.53529
01/06/2019	, -8.82513
01/07/2019	, -7.95867
01/08/2019	, -4.64121
