"fecha","tasa_cetes","inflacion","pib","ln_tc","td","ln_ipc"
"06/2008",0.0756,0.0526,0.02621,2.33281,0.03367,10.28860
"07/2008",0.0793,0.0539,NULL,2.30611,0.04133,10.22198
"08/2008",0.0818,0.0557,NULL,2.33066,0.04056,10.17698
"09/2008",0.0817,0.0547,0.01327,2.39620,0.04140,10.12218
"10/2008",0.0774,0.0578,NULL,2.54259,0.04171,9.92551
"11/2008",0.0743,0.0623,NULL,2.58945,0.04322,9.92987
"12/2008",0.0802,0.0653,-0.00520,2.62702,0.04024,10.01594
"01/2009",0.0759,0.0628,NULL,2.66094,0.05009,9.88150
"02/2009",0.0712,0.0620,NULL,2.71269,0.05238,9.78426
"03/2009",0.0703,0.0604,-0.05570,2.64983,0.04664,9.88465
"04/2009",0.0605,0.0617,NULL,2.62787,0.05055,9.99419
"05/2009",0.0529,0.0598,NULL,2.57769,0.05231,10.09954
"06/2009",0.0498,0.0574,-0.08920,2.57811,0.04975,10.10104
"07/2009",0.0459,0.0544,NULL,2.58116,0.05821,10.20520
"08/2009",0.0449,0.0508,NULL,2.58882,0.06145,10.24459
"09/2009",0.0448,0.0489,-0.04990,2.60216,0.06419,10.28303
"10/2009",0.0451,0.0450,NULL,2.57626,0.05670,10.26277
"11/2009",0.0451,0.0386,NULL,2.55844,0.05109,10.34036
"12/2009",0.0450,0.0357,-0.01600,2.57001,0.04729,10.37725
"01/2010",0.0449,0.0446,NULL,2.56570,0.05761,10.32192
"02/2010",0.0449,0.0483,NULL,2.54764,0.05280,10.36200
"03/2010",0.0445,0.0497,0.04505,2.51208,0.04743,10.41230
"04/2010",0.0444,0.0427,NULL,2.50655,0.05347,10.39474
"05/2010",0.0452,0.0392,NULL,2.55836,0.04995,10.37469
"06/2010",0.0459,0.0369,0.07033,2.55288,0.04921,10.34679
"07/2010",0.0460,0.0364,NULL,2.53730,0.05585,10.38309
"08/2010",0.0452,0.0368,NULL,2.57776,0.05415,10.36344
"09/2010",0.0443,0.0370,0.04845,2.53368,0.05657,10.41422
"10/2010",0.0403,0.0402,NULL,2.51274,0.05481,10.47921
