fecha,tasa_cetes,inflacion,pib,ln_tc,td,ln_ipc,ln_actvindustrial,ln_inpp,ahorro,ln_export,ln_import,inversion
jun-17,0.0682,0.0631,0.01706,2.89384,0.03286,10.81692,4.65908,4.50012,0.2249,10.47864,10.47866,-0.0073
jul-17,0.0699,0.0644,0.01658,2.88282,0.03417,10.83981,4.6338,4.49929,0.2257,10.37833,10.42487,0.0048
ago-17,0.0694,0.0666,0.01609,2.88001,0.03515,10.8437,4.66554,4.50115,0.2264,10.48924,10.55875,-0.0002
sep-17,0.0699,0.0635,0.01561,2.89917,0.03589,10.82668,4.62173,4.50441,0.2272,10.42737,10.4831,-0.0124
oct-17,0.0703,0.0637,0.01639,2.95219,0.03508,10.7919,4.66154,4.51623,0.2267,10.51096,10.57053,-0.0181
nov-17,0.0702,0.0663,0.01718,2.92439,0.03405,10.75987,4.65219,4.53096,0.2261,10.5323,10.52091,-0.0493
dic-17,0.0717,0.0677,0.01796,2.97873,0.03147,10.80678,4.61622,4.53618,0.2256,10.49089,10.49083,-0.0078
ene-18,0.0725,0.0555,0.0169,2.92353,0.03364,10.82886,4.65369,4.5473,0.2266,10.33262,10.46711,0.0343
feb-18,0.074,0.0534,0.01584,2.93562,0.03173,10.76718,4.61595,4.54944,0.2277,10.46578,10.43851,0.0437
mar-18,0.0747,0.0504,0.01478,2.90531,0.02937,10.73911,4.64657,4.55442,0.2287,10.58366,10.53833,-0.0329
abr-18,0.0746,0.0455,0.02067,2.93321,0.03386,10.78639,4.6443,4.5545,0.2287,10.52357,10.53135,0.0966
may-18,0.0751,0.0451,0.02655,2.99453,0.03223,10.70689,4.67741,4.57424,0.2288,10.57679,10.61561,0.0368
